Image_no,,,,,,,Folder_No,,,,Pred_x,pred_y,Pred_label,Manual_label
223,0,0,12,13,8,12,6,1,0,0,1.3422926664,-6.4080662727,R,L
224,0,0,12,13,8,12,6,1,0,0,1.674552083,-5.8204340935,R,L
225,0,0,12,13,8,12,6,1,0,0,1.674552083,-5.8204340935,R,L
226,0,0,12,13,8,12,6,1,0,0,1.674552083,-5.8204340935,R,L
227,0,0,12,13,8,12,6,1,0,0,1.064209342,-5.6966633797,R,L
228,0,0,12,13,8,12,6,1,0,0,1.064209342,-5.6966633797,R,L
229,0,0,12,13,8,12,6,1,0,0,1.064209342,-5.6966633797,R,L
230,0,0,12,13,8,12,6,1,0,0,1.064209342,-5.6966633797,R,L
231,0,0,12,13,8,12,6,1,0,0,1.2270708084,-5.0457553864,R,L
232,0,0,12,13,8,12,6,1,0,0,1.2270708084,-5.0457553864,R,L
233,0,0,12,13,8,12,6,1,0,0,1.7543743849,-6.3998646736,R,L
234,0,0,12,13,8,12,6,1,0,0,1.7543743849,-6.3998646736,R,L
235,0,0,12,13,8,12,6,1,0,0,1.7543743849,-6.3998646736,R,L
236,0,0,12,13,8,12,6,1,0,0,1.7543743849,-6.3998646736,R,L
237,0,0,12,13,8,12,6,1,0,0,2.6408443451,-5.5357160568,L,L
238,0,0,12,13,8,12,6,1,0,0,2.6408443451,-5.5357160568,L,L
239,0,0,12,13,8,12,6,1,0,0,2.6408443451,-5.5357160568,L,L
240,0,0,12,13,8,12,6,1,0,0,1.3165911436,-5.8799262047,R,L
241,0,0,12,13,8,12,6,1,0,0,1.3165911436,-5.8799262047,R,L
242,0,0,12,13,8,12,6,1,0,0,1.3165911436,-5.8799262047,R,L
243,0,0,12,13,8,12,6,1,0,0,1.546138525,-5.2520079613,R,L
244,0,0,12,13,8,12,6,1,0,0,1.546138525,-5.2520079613,R,L
245,0,0,12,13,8,12,6,1,0,0,1.546138525,-5.2520079613,R,L
246,0,0,12,13,8,12,6,1,0,0,1.8279000521,-5.2516508102,R,L
247,0,0,12,13,8,12,6,1,0,0,1.8279000521,-5.2516508102,R,L
248,0,0,12,13,8,12,6,1,0,0,1.8279000521,-5.2516508102,R,L
249,0,0,12,13,8,12,6,1,0,0,-0.0316352546,-4.3914198875,R,R
250,0,0,12,13,8,12,6,1,0,0,-0.0316352546,-4.3914198875,R,R
251,0,0,12,13,8,12,6,1,0,0,-0.0316352546,-4.3914198875,R,R
252,0,0,12,13,8,12,6,1,0,0,-0.1301519275,-4.7220692635,R,R
253,0,0,12,13,8,12,6,1,0,0,-0.1301519275,-4.7220692635,R,R
254,0,0,12,13,8,12,6,1,0,0,-0.1301519275,-4.7220692635,R,R
255,0,0,12,13,8,12,6,1,0,0,-0.1301519275,-4.7220692635,R,R
256,0,0,12,13,8,12,6,1,0,0,-1.109508276,-4.2722210884,R,R
257,0,0,12,13,8,12,6,1,0,0,-1.109508276,-4.2722210884,R,R
258,0,0,12,13,8,12,6,1,0,0,-1.109508276,-4.2722210884,R,R
259,0,0,12,13,8,12,6,1,0,0,-1.2425004244,-4.3756856918,R,R
260,0,0,12,13,8,12,6,1,0,0,-1.2425004244,-4.3756856918,R,R
261,0,0,12,13,8,12,6,1,0,0,-1.2425004244,-4.3756856918,R,R
262,0,0,12,13,8,12,6,1,0,0,-1.7571046352,-4.2706313133,R,R
263,0,0,12,13,8,12,6,1,0,0,-1.7571046352,-4.2706313133,R,R
264,0,0,12,13,8,12,6,1,0,0,-1.7571046352,-4.2706313133,R,R
265,0,0,12,13,8,12,6,1,0,0,-1.4906493425,-3.4539301395,R,R
266,0,0,12,13,8,12,6,1,0,0,-1.4906493425,-3.4539301395,R,R
267,0,0,12,13,8,12,6,1,0,0,-1.4906493425,-3.4539301395,R,R
268,0,0,12,13,8,12,6,1,0,0,-1.4906493425,-3.4539301395,R,R
269,0,0,12,13,8,12,6,1,0,0,-0.7646071911,-3.1250042915,R,R
270,0,0,12,13,8,12,6,1,0,0,-0.7646071911,-3.1250042915,R,R
271,0,0,12,13,8,12,6,1,0,0,-0.7646071911,-3.1250042915,R,R
272,0,0,12,13,8,12,6,1,0,0,-2.7348947525,-3.622658968,R,R
273,0,0,12,13,8,12,6,1,0,0,-2.7348947525,-3.622658968,R,R
274,0,0,12,13,8,12,6,1,0,0,-2.7348947525,-3.622658968,R,R
275,0,0,12,13,8,12,6,1,0,0,-2.7348947525,-3.622658968,R,R
276,0,0,12,13,8,12,6,1,0,0,-2.1475520134,-3.5629220009,R,R
277,0,0,12,13,8,12,6,1,0,0,-2.1475520134,-3.5629220009,R,R
278,0,0,12,13,8,12,6,1,0,0,-2.1475520134,-3.5629220009,R,R
279,0,0,12,13,8,12,6,1,0,0,-1.743427515,-3.17593503,R,R
280,0,0,12,13,8,12,6,1,0,0,-1.743427515,-3.17593503,R,R
281,0,0,12,13,8,12,6,1,0,0,-1.743427515,-3.17593503,R,R
282,0,0,12,13,8,12,6,1,0,0,-2.0954856873,-3.7950692177,R,R
283,0,0,12,13,8,12,6,1,0,0,-2.0954856873,-3.7950692177,R,R
284,0,0,12,13,8,12,6,1,0,0,-2.0954856873,-3.7950692177,R,R
285,0,0,12,13,8,12,6,1,0,0,-2.2669625282,-3.9378368855,R,R
286,0,0,12,13,8,12,6,1,0,0,-2.2669625282,-3.9378368855,R,R
287,0,0,12,13,8,12,6,1,0,0,-2.2669625282,-3.9378368855,R,R
288,0,0,12,13,8,12,6,1,0,0,-2.2669625282,-3.9378368855,R,R
289,0,0,12,13,8,12,6,1,0,0,-1.7472692728,-3.1683013439,R,R
290,0,0,12,13,8,12,6,1,0,0,-1.7472692728,-3.1683013439,R,R
291,0,0,12,13,8,12,6,1,0,0,-1.7472692728,-3.1683013439,R,R
292,0,0,12,13,8,12,6,1,0,0,-1.0027586222,-14.2304439545,R,R
293,0,0,12,13,8,12,6,1,0,0,-1.0027586222,-14.2304439545,R,R
294,0,0,12,13,8,12,6,1,0,0,-1.0027586222,-14.2304439545,R,R
295,0,0,12,13,8,12,6,1,0,0,-3.2758421898,-8.0861415863,R,R
296,0,0,12,13,8,12,6,1,0,0,-3.2758421898,-8.0861415863,R,R
297,0,0,12,13,8,12,6,1,0,0,-3.2758421898,-8.0861415863,R,R
298,0,0,12,13,8,12,6,1,0,0,-3.2758421898,-8.0861415863,R,R
299,0,0,12,13,8,12,6,1,0,0,-1.4393562078,-6.038374424,R,R
300,0,0,12,13,8,12,6,1,0,0,-1.4393562078,-6.038374424,R,R
301,0,0,12,13,8,12,6,1,0,0,-1.4393562078,-6.038374424,R,R
302,0,0,12,13,8,12,6,1,0,0,-1.7093070745,-5.0997328758,R,R
303,0,0,12,13,8,12,6,1,0,0,-1.7093070745,-5.0997328758,R,R
304,0,0,12,13,8,12,6,1,0,0,-1.4680403471,-5.5927433968,R,R
305,0,0,12,13,8,12,6,1,0,0,-1.4680403471,-5.5927433968,R,R
306,0,0,12,13,8,12,6,1,0,0,-1.4680403471,-5.5927433968,R,R
307,0,0,12,13,8,12,6,1,0,0,-2.0988097191,-5.0852503777,R,R
308,0,0,12,13,8,12,6,1,0,0,-2.0988097191,-5.0852503777,R,R
309,0,0,12,13,8,12,6,1,0,0,-2.0988097191,-5.0852503777,R,R
310,0,0,12,13,8,12,6,1,0,0,-2.0988097191,-5.0852503777,R,R
311,0,0,12,13,8,12,6,1,0,0,-0.688185215,-4.8276104927,R,R
312,0,0,12,13,8,12,6,1,0,0,-0.688185215,-4.8276104927,R,R
313,0,0,12,13,8,12,6,1,0,0,-0.688185215,-4.8276104927,R,R
314,0,0,12,13,8,12,6,1,0,0,-0.688185215,-4.8276104927,R,R
315,0,0,12,13,8,12,6,1,0,0,2.3737688065,-2.884465456,L,L
316,0,0,12,13,8,12,6,1,0,0,2.3737688065,-2.884465456,L,L
317,0,0,12,13,8,12,6,1,0,0,2.3737688065,-2.884465456,L,L
318,0,0,12,13,8,12,6,1,0,0,2.3737688065,-2.884465456,L,L
319,0,0,12,13,8,12,6,1,0,0,2.8873715401,-3.3590154648,L,L
320,0,0,12,13,8,12,6,1,0,0,2.8873715401,-3.3590154648,L,L
321,0,0,12,13,8,12,6,1,0,0,2.8873715401,-3.3590154648,L,L
322,0,0,12,13,8,12,6,1,0,0,2.7239813805,-3.0563664436,L,L
323,0,0,12,13,8,12,6,1,0,0,2.7239813805,-3.0563664436,L,L
324,0,0,12,13,8,12,6,1,0,0,2.7239813805,-3.0563664436,L,L
325,0,0,12,13,8,12,6,1,0,0,0.709259212,-4.8590636253,R,R
326,0,0,12,13,8,12,6,1,0,0,0.709259212,-4.8590636253,R,R
327,0,0,12,13,8,12,6,1,0,0,0.709259212,-4.8590636253,R,R
328,0,0,12,13,8,12,6,1,0,0,0.709259212,-4.8590636253,R,R
329,0,0,12,13,8,12,6,1,0,0,1.0023254156,-6.2065501213,R,R
330,0,0,12,13,8,12,6,1,0,0,1.0023254156,-6.2065501213,R,R
331,0,0,12,13,8,12,6,1,0,0,1.0023254156,-6.2065501213,R,R
332,0,0,12,13,8,12,6,1,0,0,0.8488019705,-4.1579885483,R,R
333,0,0,12,13,8,12,6,1,0,0,0.8488019705,-4.1579885483,R,R
334,0,0,12,13,8,12,6,1,0,0,0.8488019705,-4.1579885483,R,R
335,0,0,12,13,8,12,6,1,0,0,2.440281868,-6.1262516975,L,L
336,0,0,12,13,8,12,6,1,0,0,2.440281868,-6.1262516975,L,L
337,0,0,12,13,8,12,6,1,0,0,2.440281868,-6.1262516975,L,L
338,0,0,12,13,8,12,6,1,0,0,2.1661086082,-5.0528159142,L,L
339,0,0,12,13,8,12,6,1,0,0,2.1661086082,-5.0528159142,L,L
340,0,0,12,13,8,12,6,1,0,0,2.1661086082,-5.0528159142,L,L
341,0,0,12,13,8,12,6,1,0,0,1.7684885263,-4.7093229294,R,L
342,0,0,12,13,8,12,6,1,0,0,1.7684885263,-4.7093229294,R,L
343,0,0,12,13,8,12,6,1,0,0,1.7684885263,-4.7093229294,R,L
344,0,0,12,13,8,12,6,1,0,0,1.7684885263,-4.7093229294,R,L
345,0,0,12,13,8,12,6,1,0,0,1.514893651,-4.9037656784,R,L
346,0,0,12,13,8,12,6,1,0,0,1.514893651,-4.9037656784,R,L
347,0,0,12,13,8,12,6,1,0,0,1.514893651,-4.9037656784,R,L
348,0,0,12,13,8,12,6,1,0,0,2.4128808975,-6.8108649254,L,L
349,0,0,12,13,8,12,6,1,0,0,2.4128808975,-6.8108649254,L,L
350,0,0,12,13,8,12,6,1,0,0,2.4128808975,-6.8108649254,L,L
351,0,0,12,13,8,12,6,1,0,0,1.7123346329,-4.8010048866,R,L
352,0,0,12,13,8,12,6,1,0,0,1.7123346329,-4.8010048866,R,L
353,0,0,12,13,8,12,6,1,0,0,1.7123346329,-4.8010048866,R,L
354,0,0,12,13,8,12,6,1,0,0,1.8367275,-4.3428230286,R,L
355,0,0,12,13,8,12,6,1,0,0,1.8367275,-4.3428230286,R,L
356,0,0,12,13,8,12,6,1,0,0,1.8367275,-4.3428230286,R,L
357,0,0,12,13,8,12,6,1,0,0,1.8367275,-4.3428230286,R,L
358,0,0,12,13,8,12,6,1,0,0,1.5587915182,-6.0174241066,R,L
359,0,0,12,13,8,12,6,1,0,0,1.5587915182,-6.0174241066,R,L
360,0,0,12,13,8,12,6,1,0,0,1.842753768,-5.9566831589,R,L
361,0,0,12,13,8,12,6,1,0,0,1.842753768,-5.9566831589,R,L
362,0,0,12,13,8,12,6,1,0,0,1.842753768,-5.9566831589,R,L
363,0,0,12,13,8,12,6,1,0,0,2.4393110275,-4.9002342224,L,L
364,0,0,12,13,8,12,6,1,0,0,2.4393110275,-4.9002342224,L,L
365,0,0,12,13,8,12,6,1,0,0,2.4393110275,-4.9002342224,L,L
366,0,0,12,13,8,12,6,1,0,0,2.3839068413,-5.3335433006,L,L
367,0,0,12,13,8,12,6,1,0,0,2.3839068413,-5.3335433006,L,L
368,0,0,12,13,8,12,6,1,0,0,2.3839068413,-5.3335433006,L,L
369,0,0,12,13,8,12,6,1,0,0,2.2547688484,-5.3530139923,L,L
370,0,0,12,13,8,12,6,1,0,0,2.2547688484,-5.3530139923,L,L
371,0,0,12,13,8,12,6,1,0,0,2.2547688484,-5.3530139923,L,L
372,0,0,12,13,8,12,6,1,0,0,1.6517673731,-5.8102889061,R,L
373,0,0,12,13,8,12,6,1,0,0,1.6517673731,-5.8102889061,R,L
374,0,0,12,13,8,12,6,1,0,0,1.6517673731,-5.8102889061,R,L
375,0,0,12,13,8,12,6,1,0,0,1.8759921789,-6.0508151054,R,L
376,0,0,12,13,8,12,6,1,0,0,1.8759921789,-6.0508151054,R,L
377,0,0,12,13,8,12,6,1,0,0,1.8759921789,-6.0508151054,R,L
378,0,0,12,13,8,12,6,1,0,0,2.2580246925,-4.8822870255,L,L
379,0,0,12,13,8,12,6,1,0,0,2.2580246925,-4.8822870255,L,L
380,0,0,12,13,8,12,6,1,0,0,2.2580246925,-4.8822870255,L,L
381,0,0,12,13,8,12,6,1,0,0,2.2580246925,-4.8822870255,L,L
382,0,0,12,13,8,12,6,1,0,0,1.473935008,-6.8081235886,R,L
383,0,0,12,13,8,12,6,1,0,0,1.473935008,-6.8081235886,R,L
384,0,0,12,13,8,12,6,1,0,0,1.473935008,-6.8081235886,R,L
385,0,0,12,13,8,12,6,1,0,0,2.4304876328,-3.221868515,L,L
386,0,0,12,13,8,12,6,1,0,0,2.4304876328,-3.221868515,L,L
387,0,0,12,13,8,12,6,1,0,0,2.4304876328,-3.221868515,L,L
388,0,0,12,13,8,12,6,1,0,0,2.4304876328,-3.221868515,L,L
389,0,0,12,13,8,12,6,1,0,0,3.2804679871,-1.8122073412,L,L
390,0,0,12,13,8,12,6,1,0,0,3.2804679871,-1.8122073412,L,L
391,0,0,12,13,8,12,6,1,0,0,3.2804679871,-1.8122073412,L,L
392,0,0,12,13,8,12,6,1,0,0,2.1701960564,-1.8505654335,L,L
393,0,0,12,13,8,12,6,1,0,0,2.1701960564,-1.8505654335,L,L
394,0,0,12,13,8,12,6,1,0,0,2.1701960564,-1.8505654335,L,L
395,0,0,12,13,8,12,6,1,0,0,2.1701960564,-1.8505654335,L,L
396,0,0,12,13,8,12,6,1,0,0,2.3676967621,-2.2948646545,L,L
397,0,0,12,13,8,12,6,1,0,0,2.3676967621,-2.2948646545,L,L
398,0,0,12,13,8,12,6,1,0,0,2.3676967621,-2.2948646545,L,L
399,0,0,12,13,8,12,6,1,0,0,2.4856204987,-2.4377486706,L,L
400,0,0,12,13,8,12,6,1,0,0,2.4856204987,-2.4377486706,L,L
401,0,0,12,13,8,12,6,1,0,0,2.4856204987,-2.4377486706,L,L
402,0,0,12,13,8,12,6,1,0,0,2.4952449799,-3.855751276,L,R
403,0,0,12,13,8,12,6,1,0,0,2.4952449799,-3.855751276,L,R
404,0,0,12,13,8,12,6,1,0,0,0.0052087307,-5.8898701668,R,R
405,0,0,12,13,8,12,6,1,0,0,0.0052087307,-5.8898701668,R,R
406,0,0,12,13,8,12,6,1,0,0,0.0052087307,-5.8898701668,R,R
407,0,0,12,13,8,12,6,1,0,0,-0.426989913,-4.6030621529,R,R
408,0,0,12,13,8,12,6,1,0,0,-0.426989913,-4.6030621529,R,R
409,0,0,12,13,8,12,6,1,0,0,-0.426989913,-4.6030621529,R,R
410,0,0,12,13,8,12,6,1,0,0,-0.426989913,-4.6030621529,R,R
411,0,0,12,13,8,12,6,1,0,0,-0.1770473421,-5.1569924355,R,R
412,0,0,12,13,8,12,6,1,0,0,-0.1770473421,-5.1569924355,R,R
413,0,0,12,13,8,12,6,1,0,0,-0.1770473421,-5.1569924355,R,R
414,0,0,12,13,8,12,6,1,0,0,-4.2063121796,-3.1746590137,R,R
415,0,0,12,13,8,12,6,1,0,0,-4.2063121796,-3.1746590137,R,R
416,0,0,12,13,8,12,6,1,0,0,-4.2063121796,-3.1746590137,R,R
417,0,0,12,13,8,12,6,1,0,0,-1.4360340834,-2.4526774883,R,R
418,0,0,12,13,8,12,6,1,0,0,-1.4360340834,-2.4526774883,R,R
419,0,0,12,13,8,12,6,1,0,0,-1.4360340834,-2.4526774883,R,R
420,0,0,12,13,8,12,6,1,0,0,0.0223610997,-3.1085314751,R,R
421,0,0,12,13,8,12,6,1,0,0,0.0223610997,-3.1085314751,R,R
422,0,0,12,13,8,12,6,1,0,0,0.0223610997,-3.1085314751,R,R
423,0,0,12,13,8,12,6,1,0,0,-1.7748036385,-1.9424905777,R,R
424,0,0,12,13,8,12,6,1,0,0,-1.7748036385,-1.9424905777,R,R
425,0,0,12,13,8,12,6,1,0,0,-1.7748036385,-1.9424905777,R,R
426,0,0,12,13,8,12,6,1,0,0,-1.7748036385,-1.9424905777,R,R
427,0,0,12,13,8,12,6,1,0,0,-0.8709280491,-2.9169676304,R,R
428,0,0,12,13,8,12,6,1,0,0,-0.8709280491,-2.9169676304,R,R
429,0,0,12,13,8,12,6,1,0,0,-0.8709280491,-2.9169676304,R,R
430,0,0,12,13,8,12,6,1,0,0,-0.4615181684,-3.2709779739,R,R
431,0,0,12,13,8,12,6,1,0,0,-0.4615181684,-3.2709779739,R,R
432,0,0,12,13,8,12,6,1,0,0,-0.4615181684,-3.2709779739,R,R
433,0,0,12,13,8,12,6,1,0,0,-1.4804997444,-2.6003329754,R,R
434,0,0,12,13,8,12,6,1,0,0,-1.4804997444,-2.6003329754,R,R
435,0,0,12,13,8,12,6,1,0,0,-1.4804997444,-2.6003329754,R,R
436,0,0,12,13,8,12,6,1,0,0,-1.7966305017,-1.7911567688,R,R
437,0,0,12,13,8,12,6,1,0,0,-1.7966305017,-1.7911567688,R,R
438,0,0,12,13,8,12,6,1,0,0,-1.7966305017,-1.7911567688,R,R
439,0,0,12,13,8,12,6,1,0,0,-1.7966305017,-1.7911567688,R,R
440,0,0,12,13,8,12,6,1,0,0,2.7407150269,-13.9531364441,L,R
441,0,0,12,13,8,12,6,1,0,0,2.7407150269,-13.9531364441,L,R
443,0,0,12,13,8,12,6,1,0,0,1.1545120478,-9.2466011047,R,L
444,0,0,12,13,8,12,6,1,0,0,1.1545120478,-9.2466011047,R,L
445,0,0,12,13,8,12,6,1,0,0,1.1545120478,-9.2466011047,R,L
446,0,0,12,13,8,12,6,1,0,0,3.5201120377,-4.4651808739,L,L
447,0,0,12,13,8,12,6,1,0,0,3.5201120377,-4.4651808739,L,L
448,0,0,12,13,8,12,6,1,0,0,3.5201120377,-4.4651808739,L,L
449,0,0,12,13,8,12,6,1,0,0,1.88613832,-4.7801146507,R,L
450,0,0,12,13,8,12,6,1,0,0,1.88613832,-4.7801146507,R,L
451,0,0,12,13,8,12,6,1,0,0,1.88613832,-4.7801146507,R,L
452,0,0,12,13,8,12,6,1,0,0,1.4996000528,-4.7424254417,R,L
453,0,0,12,13,8,12,6,1,0,0,1.4996000528,-4.7424254417,R,L
454,0,0,12,13,8,12,6,1,0,0,1.4996000528,-4.7424254417,R,L
455,0,0,12,13,8,12,6,1,0,0,-0.8387615085,-5.9628338814,R,R
456,0,0,12,13,8,12,6,1,0,0,-0.8387615085,-5.9628338814,R,R
457,0,0,12,13,8,12,6,1,0,0,-0.8387615085,-5.9628338814,R,R
458,0,0,12,13,8,12,6,1,0,0,-0.083055377,-6.3221068382,R,R
459,0,0,12,13,8,12,6,1,0,0,-0.083055377,-6.3221068382,R,R
460,0,0,12,13,8,12,6,1,0,0,-0.083055377,-6.3221068382,R,R
461,0,0,12,13,8,12,6,1,0,0,-0.083055377,-6.3221068382,R,R
462,0,0,12,13,8,12,6,1,0,0,-0.6752126813,-6.7408528328,R,R
463,0,0,12,13,8,12,6,1,0,0,-0.6752126813,-6.7408528328,R,R
464,0,0,12,13,8,12,6,1,0,0,-0.6752126813,-6.7408528328,R,R
465,0,0,12,13,8,12,6,1,0,0,-0.0962961316,-6.1783223152,R,R
466,0,0,12,13,8,12,6,1,0,0,-0.0962961316,-6.1783223152,R,R
467,0,0,12,13,8,12,6,1,0,0,-0.0962961316,-6.1783223152,R,R
468,0,0,12,13,8,12,6,1,0,0,-0.0962961316,-6.1783223152,R,R
469,0,0,12,13,8,12,6,1,0,0,-0.0554299057,-6.6411604881,R,R
470,0,0,12,13,8,12,6,1,0,0,-0.0554299057,-6.6411604881,R,R
471,0,0,12,13,8,12,6,1,0,0,-0.0554299057,-6.6411604881,R,R
472,0,0,12,13,8,12,6,1,0,0,0.9953211546,-6.457859993,R,L
473,0,0,12,13,8,12,6,1,0,0,0.9953211546,-6.457859993,R,L
474,0,0,12,13,8,12,6,1,0,0,0.9953211546,-6.457859993,R,L
475,0,0,12,13,8,12,6,1,0,0,1.5249786377,-4.7995548248,R,L
476,0,0,12,13,8,12,6,1,0,0,1.5249786377,-4.7995548248,R,L
477,0,0,12,13,8,12,6,1,0,0,1.5249786377,-4.7995548248,R,L
478,0,0,12,13,8,12,6,1,0,0,1.5249786377,-4.7995548248,R,L
479,0,0,12,13,8,12,6,1,0,0,1.6404056549,-5.2761158943,R,L
480,0,0,12,13,8,12,6,1,0,0,1.6404056549,-5.2761158943,R,L
481,0,0,12,13,8,12,6,1,0,0,1.6404056549,-5.2761158943,R,L
482,0,0,12,13,8,12,6,1,0,0,2.0640053749,-5.7974295616,L,L
483,0,0,12,13,8,12,6,1,0,0,2.0640053749,-5.7974295616,L,L
484,0,0,12,13,8,12,6,1,0,0,2.0640053749,-5.7974295616,L,L
485,0,0,12,13,8,12,6,1,0,0,1.9307216406,-4.3672699928,R,L
486,0,0,12,13,8,12,6,1,0,0,1.9307216406,-4.3672699928,R,L
487,0,0,12,13,8,12,6,1,0,0,1.9307216406,-4.3672699928,R,L
488,0,0,12,13,8,12,6,1,0,0,1.4987831116,-4.7473688126,R,L
489,0,0,12,13,8,12,6,1,0,0,1.4987831116,-4.7473688126,R,L
490,0,0,12,13,8,12,6,1,0,0,1.4987831116,-4.7473688126,R,L
491,0,0,12,13,8,12,6,1,0,0,2.4563150406,-5.6097660065,L,L
492,0,0,12,13,8,12,6,1,0,0,2.4563150406,-5.6097660065,L,L
493,0,0,12,13,8,12,6,1,0,0,2.4563150406,-5.6097660065,L,L
494,0,0,12,13,8,12,6,1,0,0,1.7365534306,-4.7770390511,R,L
495,0,0,12,13,8,12,6,1,0,0,1.7365534306,-4.7770390511,R,L
496,0,0,12,13,8,12,6,1,0,0,1.7365534306,-4.7770390511,R,L
497,0,0,12,13,8,12,6,1,0,0,2.0429334641,-4.1511383057,L,L
498,0,0,12,13,8,12,6,1,0,0,2.0429334641,-4.1511383057,L,L
499,0,0,12,13,8,12,6,1,0,0,2.0429334641,-4.1511383057,L,L
500,0,0,12,13,8,12,6,1,0,0,2.649523735,-4.5348010063,L,L
501,0,0,12,13,8,12,6,1,0,0,2.649523735,-4.5348010063,L,L
502,0,0,12,13,8,12,6,1,0,0,2.649523735,-4.5348010063,L,L
503,0,0,12,13,8,12,6,1,0,0,3.6781592369,-6.4086718559,L,L
504,0,0,12,13,8,12,6,1,0,0,3.6781592369,-6.4086718559,L,L
505,0,0,12,13,8,12,6,1,0,0,3.6781592369,-6.4086718559,L,L
506,0,0,12,13,8,12,6,1,0,0,-0.5609390736,-3.901922226,R,R
507,0,0,12,13,8,12,6,1,0,0,-0.5609390736,-3.901922226,R,R
508,0,0,12,13,8,12,6,1,0,0,-0.5609390736,-3.901922226,R,R
509,0,0,12,13,8,12,6,1,0,0,0.4133327603,-4.2462592125,R,R
510,0,0,12,13,8,12,6,1,0,0,0.4133327603,-4.2462592125,R,R
511,0,0,12,13,8,12,6,1,0,0,-1.5212925673,-5.0576100349,R,R
512,0,0,12,13,8,12,6,1,0,0,-1.5212925673,-5.0576100349,R,R
513,0,0,12,13,8,12,6,1,0,0,-1.5212925673,-5.0576100349,R,R
514,0,0,12,13,8,12,6,1,0,0,-2.3645415306,-4.3541374207,R,R
515,0,0,12,13,8,12,6,1,0,0,-2.3645415306,-4.3541374207,R,R
516,0,0,12,13,8,12,6,1,0,0,-2.3645415306,-4.3541374207,R,R
517,0,0,12,13,8,12,6,1,0,0,-2.3645415306,-4.3541374207,R,R
518,0,0,12,13,8,12,6,1,0,0,-2.3645415306,-4.3541374207,R,R
519,0,0,12,13,8,12,6,1,0,0,-2.3686847687,-5.2622585297,R,R
520,0,0,12,13,8,12,6,1,0,0,-2.3686847687,-5.2622585297,R,R
521,0,0,12,13,8,12,6,1,0,0,-2.3686847687,-5.2622585297,R,R
522,0,0,11,13,8,12,6,1,0,0,2.8042182922,-3.6138179302,L,L
523,0,0,11,13,8,12,6,1,0,0,2.8042182922,-3.6138179302,L,L
524,0,0,11,13,8,12,6,1,0,0,2.8042182922,-3.6138179302,L,L
525,0,0,11,13,8,12,6,1,0,0,3.9305462837,-4.1521515846,L,L
526,0,0,11,13,8,12,6,1,0,0,3.9305462837,-4.1521515846,L,L
527,0,0,11,13,8,12,6,1,0,0,3.9305462837,-4.1521515846,L,L
528,0,0,11,13,8,12,6,1,0,0,3.9305462837,-4.1521515846,L,L
529,0,0,11,13,8,12,6,1,0,0,3.5763616562,-4.703856945,L,L
530,0,0,11,13,8,12,6,1,0,0,3.5763616562,-4.703856945,L,L
531,0,0,11,13,8,12,6,1,0,0,3.5763616562,-4.703856945,L,L
532,0,0,11,13,8,12,6,1,0,0,3.5763616562,-4.703856945,L,L
533,0,0,11,13,8,12,6,1,0,0,3.6219182014,-3.1322202682,L,L
534,0,0,11,13,8,12,6,1,0,0,3.6219182014,-3.1322202682,L,L
535,0,0,11,13,8,12,6,1,0,0,3.6219182014,-3.1322202682,L,L
536,0,0,11,13,8,12,6,1,0,0,2.7426376343,-3.4560952187,L,L
537,0,0,11,13,8,12,6,1,0,0,2.7426376343,-3.4560952187,L,L
538,0,0,11,13,8,12,6,1,0,0,2.7426376343,-3.4560952187,L,L
539,0,0,11,13,8,12,6,1,0,0,2.7426376343,-3.4560952187,L,L
540,0,0,11,13,8,12,6,1,0,0,3.2826647758,-4.6361994743,L,L
541,0,0,11,13,8,12,6,1,0,0,3.2826647758,-4.6361994743,L,L
542,0,0,11,13,8,12,6,1,0,0,3.2826647758,-4.6361994743,L,L
543,0,0,11,13,8,12,6,1,0,0,3.8079786301,-1.8882184029,L,L
544,0,0,11,13,8,12,6,1,0,0,3.8079786301,-1.8882184029,L,L
545,0,0,11,13,8,12,6,1,0,0,3.8079786301,-1.8882184029,L,L
546,0,0,11,13,8,12,6,1,0,0,3.8079786301,-1.8882184029,L,L
547,0,0,12,13,8,12,6,1,0,0,-0.8391386271,-5.4981269836,R,R
548,0,0,12,13,8,12,6,1,0,0,-0.8391386271,-5.4981269836,R,R
549,0,0,12,13,8,12,6,1,0,0,-0.8391386271,-5.4981269836,R,R
550,0,0,12,13,8,12,6,1,0,0,-0.8391386271,-5.4981269836,R,R
551,0,0,12,13,8,12,6,1,0,0,-2.3333654404,-3.2633333206,R,R
552,0,0,12,13,8,12,6,1,0,0,-2.3333654404,-3.2633333206,R,R
553,0,0,12,13,8,12,6,1,0,0,-2.3333654404,-3.2633333206,R,R
554,0,0,12,13,8,12,6,1,0,0,-2.3333654404,-3.2633333206,R,R
555,0,0,12,13,8,12,6,1,0,0,-1.3848940134,-3.8627898693,R,R
556,0,0,12,13,8,12,6,1,0,0,-1.3848940134,-3.8627898693,R,R
557,0,0,12,13,8,12,6,1,0,0,-1.3848940134,-3.8627898693,R,R
558,0,0,12,13,8,12,6,1,0,0,-3.9043774605,-4.7831015587,R,R
559,0,0,12,13,8,12,6,1,0,0,-3.9043774605,-4.7831015587,R,R
560,0,0,12,13,8,12,6,1,0,0,-3.9043774605,-4.7831015587,R,R
561,0,0,11,13,8,12,6,1,0,0,-1.5723274946,-5.8832001686,R,R
